cve_ent,pobreza,pobreza_mil,pobreza_m,pobreza_m_mil,pobreza_e,pobreza_e_mil,vul_car,vul_car_mil,vul_ing,vul_ing_mil,no_pobv,no_pbv_mil,carencias,carencias_mil,carencias3,carencias3_mil,ic_rezedu,ic_rezedu_mil,ic_asalud,ic_asalud_mil,ic_segsoc,ic_segsoc_mil,ic_cv,ic_cv_mil,ic_sbv,ic_sbv_mil,ic_ali_nc,ic_ali_nc_mil,plp_e,plp_e_mil,plp,plp_mil,anio
18,35.72053995,436.515,30.14439931,368.373,5.576140645,68.142,31.6778339,387.112,5.96025623,72.836,26.64136992,325.565,67.39837385,823.627,17.53478644,214.28,19.16011744,234.142,13.65435162,166.86,52.90705287,646.539,11.86413077,144.983,17.22382793,210.48,19.71607852,240.936,11.20653537,136.947,41.68079618,509.351,2018
19,19.38326864,1066.519,18.6488076,1026.107,0.734461038,40.412,25.34808386,1394.719,11.95611045,657.857,43.31253705,2383.171,44.7313525,2461.238,5.652652925,311.024,13.43640965,739.307,12.95987871,713.087,28.30341172,1557.329,3.057467596,168.23,2.385289988,131.245,12.49726931,687.633,4.233801128,232.955,31.33937908,1724.376,2018
20,64.3359594,2575.335,42.64549527,1707.077,21.69046413,868.258,23.39655674,936.552,2.912153743,116.572,9.355330122,374.489,87.73251614,3511.887,48.60255492,1945.535,29.57782614,1183.985,16.25649396,650.739,78.26476887,3132.898,25.11419084,1005.308,58.27684996,2332.792,32.00278894,1281.055,30.43194666,1218.175,67.24811314,2691.907,2018
21,58.00944167,3756.308,49.90325603,3231.405,8.106185638,524.903,22.19653674,1437.301,6.32567654,409.609,13.46834505,872.121,80.20597841,5193.609,26.63582555,1724.76,21.31372581,1380.136,20.80351314,1347.098,70.62938326,4573.492,11.65725841,754.847,26.48716924,1715.134,24.50230019,1586.607,17.78084514,1151.37,64.33511821,4165.917,2018
22,26.37346863,604.477,24.70500513,566.236,1.668463505,38.241,34.80762779,797.787,7.078786155,162.245,31.74011743,727.48,61.18109642,1402.264,12.22536408,280.204,17.45527575,400.073,11.83461177,271.248,45.89485377,1051.905,8.479709109,194.354,12.67445001,290.497,15.16111116,347.491,5.057528636,115.918,33.45225479,766.722,2018
23,30.19206466,546.371,26.37889847,477.366,3.813166185,69.005,34.82212869,630.159,5.892462138,106.633,29.09334452,526.488,65.01419334,1176.53,21.16258881,382.969,16.97708564,307.226,15.63417477,282.924,44.0066068,796.366,20.98924047,379.832,21.78232156,394.184,19.95180286,361.058,7.144305725,129.287,36.0845268,653.004,2018
24,42.0681671,1179.514,35.34001518,990.869,6.728151919,188.645,26.18160393,734.084,7.484656625,209.856,24.26557235,680.362,68.24977103,1913.598,17.87406877,501.156,19.68310331,551.878,8.957577815,251.154,52.60791008,1475.029,8.573601121,240.388,26.40808099,740.434,17.84995877,500.48,14.68766139,411.815,49.55282372,1389.37,2018
25,30.98425541,927.958,28.79282148,862.326,2.191433935,65.632,31.66173278,948.248,6.978718062,209.008,30.37529375,909.72,62.64598819,1876.206,15.4908589,463.941,17.91812441,536.636,13.16035679,394.144,41.66973296,1247.981,8.502624766,254.648,14.91789135,446.781,24.84685806,744.147,5.253437972,157.337,37.96297347,1136.966,2018
26,26.66401935,774.209,24.43652164,709.532,2.227497717,64.677,28.92444203,839.842,9.126138425,264.984,35.28540019,1024.537,55.58846138,1614.051,12.69846245,368.709,14.03898371,407.632,12.63323245,366.815,35.63875805,1034.797,8.635845779,250.748,10.72303356,311.351,22.10291324,641.774,5.816766383,168.894,35.79015778,1039.193,2018
27,56.35136472,1333.182,44.28447764,1047.699,12.06688708,285.483,27.9093074,660.289,3.307200239,78.243,12.43212764,294.124,84.26067212,1993.471,37.77553662,893.708,18.01754812,426.266,12.64752701,299.22,63.21265446,1495.509,12.28237098,290.581,46.00513645,1088.407,50.02540326,1183.52,19.54592833,462.425,59.65856496,1411.425,2018
28,34.54682973,1205.38,31.55406852,1100.959,2.99276121,104.421,23.17805727,808.71,13.87278565,484.038,28.40232735,990.991,57.724887,2014.09,10.46258382,365.052,16.08612375,561.264,11.98162058,418.053,39.62782582,1382.662,7.694578488,268.473,8.890582408,310.203,17.3562438,605.58,11.94550831,416.793,48.41961538,1689.418,2018
29,50.96552327,664.832,47.69439636,622.161,3.271126906,42.671,23.70832995,309.269,9.450399165,123.278,15.87574762,207.095,74.67385322,974.101,15.51782558,202.426,15.906258,207.493,13.73680119,179.193,63.9999724,834.863,8.71278385,113.656,10.13044338,132.149,24.31232819,317.148,12.69500197,165.603,60.41592243,788.11,2018
30,60.15533716,4776.655,44.0199236,3495.417,16.13541356,1281.238,20.70879616,1644.389,6.955930168,552.338,12.17993651,967.152,80.86413332,6421.044,35.02763164,2781.381,26.38566877,2095.163,16.74523401,1329.661,65.72283426,5218.744,16.86834916,1339.437,42.08306393,3341.62,28.49182435,2262.403,26.24154748,2083.719,67.11126733,5328.993,2018
31,44.03003023,992.259,37.48125219,844.676,6.548778042,147.583,26.9218174,606.709,7.337828076,165.365,21.7103243,489.263,70.95184762,1598.968,25.58630739,576.612,21.59144762,486.584,14.06334587,316.931,49.76153667,1121.424,13.57545896,305.936,38.44437956,866.381,21.35893035,481.344,11.53898037,260.042,51.3678583,1157.624,2018
32,49.2321482,795.336,45.63773885,737.269,3.594409343,58.067,23.98072153,387.404,9.359070147,151.194,17.42806013,281.547,73.21286973,1182.74,12.56956906,203.059,20.82500506,336.424,11.68258865,188.73,61.64238391,995.821,5.418324326,87.532,10.44679572,168.766,17.36622096,280.548,14.69252811,237.355,58.59121834,946.53,2018
1,27.62669287,396.461,25.20979886,361.777,2.416894008,34.684,25.5862278,367.179,11.07531715,158.938,35.71176218,512.487,53.21292067,763.64,10.44844659,149.942,15.66827983,224.85,20.20229049,289.916,35.98213321,516.367,3.951319278,56.704,2.059906694,29.561,18.15311502,260.509,8.580656625,123.138,38.70201001,555.399,2020
2,22.51011726,851.7,20.97698719,793.692,1.533130072,58.008,34.35186086,1299.748,7.923074971,299.78,35.21494691,1332.404,56.86197812,2151.448,10.81714606,409.281,16.09395417,608.936,23.97698825,907.201,38.91713042,1472.481,6.794476841,257.078,4.9807698,188.454,13.37146424,505.927,5.179996363,195.992,30.43319223,1151.48,2020
3,27.60222417,223.432,24.70650585,199.992,2.895718315,23.44,29.96500183,242.558,8.247855698,66.764,34.1849183,276.717,57.567226,465.99,12.95623932,104.877,14.45684898,117.024,17.39629956,140.818,32.67640224,264.506,11.37372432,92.067,9.430850518,76.34,23.36056511,189.097,8.855536517,71.683,35.85007987,290.196,2020
