no,cve_ent,year,valor,entidad,entidad_abr_m
1045,03,1985,269739,Baja California Sur,BCS
1045,04,1985,490058,Campeche,CAMP
1045,05,1985,1803353,Coahuila,COAH
1045,06,1985,397283,Colima,COL
1045,07,1985,2718414,Chiapas,CHPS
1045,08,1985,2287312,Chihuahua,CHIH
1045,09,1985,8857453,Ciudad de México,CDMX
1045,10,1985,1304709,Durango,DGO
1045,11,1985,3596038,Guanajuato,GTO
1045,12,1985,2463486,Guerrero,GRO
1045,13,1985,1768697,Hidalgo,HGO
1045,14,1985,5036735,Jalisco,JAL
1045,15,1985,8916163,México,MEX
1045,16,1985,3348497,Michoacán,MICH
1045,17,1985,1099819,Morelos,MOR
1045,18,1985,797048,Nayarit,NAY
1045,19,1985,2863725,Nuevo León,NL
1045,20,1985,2808015,Oaxaca,OAX
1045,21,1985,3896729,Puebla,PUE
1045,22,1985,919786,Querétaro,QRO
1045,23,1985,358682,Quintana Roo,QROO
1045,24,1985,1903318,San Luis Potosí,SLP
1045,25,1985,2068705,Sinaloa,SIN
1045,26,1985,1705973,Sonora,SON
1045,27,1985,1304218,Tabasco,TAB
1045,28,1985,2137906,Tamaulipas,TAM
1045,29,1985,679077,Tlaxcala,TLAX
1045,30,1985,5987485,Veracruz,VER
1045,31,1985,1249803,Yucatán,YUC
1045,32,1985,1252115,Zacatecas,ZAC
1045,00,1986,78028665,Nacional,Nacional
1045,01,1986,657231,Aguascalientes,AGS
1045,02,1986,1505677,Baja California,BC
1045,03,1986,281434,Baja California Sur,BCS
1045,04,1986,503207,Campeche,CAMP
1045,05,1986,1852357,Coahuila,COAH
1045,06,1986,406561,Colima,COL
1045,07,1986,2840730,Chiapas,CHPS
1045,08,1986,2337440,Chihuahua,CHIH
1045,09,1986,8792733,Ciudad de México,CDMX
1045,10,1986,1325543,Durango,DGO
1045,11,1986,3706217,Guanajuato,GTO
1045,12,1986,2520734,Guerrero,GRO
1045,13,1986,1806162,Hidalgo,HGO
1045,14,1986,5145697,Jalisco,JAL
1045,15,1986,9179565,México,MEX
1045,16,1986,3427548,Michoacán,MICH
1045,17,1986,1127573,Morelos,MOR
1045,18,1986,809035,Nayarit,NAY
1045,19,1986,2932618,Nuevo León,NL
1045,20,1986,2880466,Oaxaca,OAX
1045,21,1986,3985507,Puebla,PUE
1045,22,1986,955812,Querétaro,QRO
1045,23,1986,388576,Quintana Roo,QROO
1045,24,1986,1940322,San Luis Potosí,SLP
1045,25,1986,2110916,Sinaloa,SIN
1045,26,1986,1741970,Sonora,SON
1045,27,1986,1353282,Tabasco,TAB
1045,28,1986,2176549,Tamaulipas,TAM
1045,29,1986,702397,Tlaxcala,TLAX
1045,30,1986,6081224,Veracruz,VER
1045,31,1986,1284025,Yucatán,YUC
1045,32,1986,1269557,Zacatecas,ZAC
1045,00,1987,79665004,Nacional,Nacional
1045,01,1987,680114,Aguascalientes,AGS
1045,02,1987,1560841,Baja California,BC
1045,03,1987,293269,Baja California Sur,BCS
1045,04,1987,516326,Campeche,CAMP
1045,05,1987,1901327,Coahuila,COAH
1045,06,1987,415667,Colima,COL
1045,07,1987,2965235,Chiapas,CHPS
1045,08,1987,2387091,Chihuahua,CHIH
1045,09,1987,8718524,Ciudad de México,CDMX
1045,10,1987,1346121,Durango,DGO
1045,11,1987,3817237,Guanajuato,GTO
1045,12,1987,2577507,Guerrero,GRO
1045,13,1987,1842861,Hidalgo,HGO
1045,14,1987,5254943,Jalisco,JAL
1045,15,1987,9442612,México,MEX
1045,16,1987,3505653,Michoacán,MICH
1045,17,1987,1154738,Morelos,MOR
1045,18,1987,820609,Nayarit,NAY
1045,19,1987,3000966,Nuevo León,NL
1045,20,1987,2953072,Oaxaca,OAX
1045,21,1987,4072843,Puebla,PUE
1045,22,1987,992144,Querétaro,QRO
1045,23,1987,419116,Quintana Roo,QROO
1045,24,1987,1976701,San Luis Potosí,SLP
1045,25,1987,2151971,Sinaloa,SIN
1045,26,1987,1777340,Sonora,SON
1045,27,1987,1403047,Tabasco,TAB
1045,28,1987,2214386,Tamaulipas,TAM
1045,29,1987,725663,Tlaxcala,TLAX
1045,30,1987,6172458,Veracruz,VER
1045,31,1987,1318521,Yucatán,YUC
1045,32,1987,1286101,Zacatecas,ZAC
1045,00,1988,81282371,Nacional,Nacional
1045,01,1988,703332,Aguascalientes,AGS
1045,02,1988,1616184,Baja California,BC
1045,03,1988,305282,Baja California Sur,BCS
1045,04,1988,529407,Campeche,CAMP
1045,05,1988,1950235,Coahuila,COAH
1045,06,1988,424755,Colima,COL
1045,07,1988,3091758,Chiapas,CHPS
1045,08,1988,2436354,Chihuahua,CHIH
1045,09,1988,8631272,Ciudad de México,CDMX
1045,10,1988,1366224,Durango,DGO
1045,11,1988,3928820,Guanajuato,GTO
1045,12,1988,2633565,Guerrero,GRO
1045,13,1988,1879296,Hidalgo,HGO
1045,14,1988,5363386,Jalisco,JAL
1045,15,1988,9705965,México,MEX
